location,iso_code,vaccines,last_observation_date,source_name,source_website
Switzerland,CHE,"Moderna, Pfizer/BioNTech",2021-06-09,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Syria,SYR,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-06-06,World Health Organization,https://covid19.who.int/
Taiwan,TWN,"Moderna, Oxford/AstraZeneca",2021-06-11,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Tajikistan,TJK,Oxford/AstraZeneca,2021-06-06,World Health Organization,https://covid19.who.int/
Thailand,THA,"Oxford/AstraZeneca, Sinovac",2021-06-10,Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-06-11v2.pdf
Timor,TLS,Oxford/AstraZeneca,2021-06-08,World Health Organization,https://covid19.who.int/
Togo,TGO,Oxford/AstraZeneca,2021-06-10,World Health Organization,https://covid19.who.int/
Tonga,TON,Oxford/AstraZeneca,2021-06-01,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,Oxford/AstraZeneca,2021-06-11,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-06-09,Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4211589338880138
Turkey,TUR,"Pfizer/BioNTech, Sinovac",2021-06-11,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turkmenistan,TKM,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-04-04,World Health Organization,https://covid19.who.int/
Turks and Caicos Islands,TCA,Pfizer/BioNTech,2021-05-28,World Health Organization,https://covid19.who.int/
Tuvalu,TUV,Oxford/AstraZeneca,2021-06-01,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Uganda,UGA,Oxford/AstraZeneca,2021-06-08,Ministry of Health,https://twitter.com/MinofHealthUG/status/1403076275418406914
Ukraine,UKR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-06-11,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",2021-06-11,National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United Kingdom,GBR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2021-06-11,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-06-11,Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",2021-06-01,Government of Uzbekistan,https://menafn.com/1102195511/Uzbekistan-reveals-number-of-vaccinated-citizens
Vanuatu,VUT,Oxford/AstraZeneca,2021-06-08,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Venezuela,VEN,"BBIBP-CorV, Sputnik V",2021-06-11,Government of Venezuela,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Vietnam,VNM,Oxford/AstraZeneca,2021-06-10,Government of Vietnam,https://suckhoedoisong.vn/sang-11-6-them-51-ca-mac-covid-19-viet-nam-da-co-9835-benh-nhan-n194776.html
Wales,OWID_WLS,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Wallis and Futuna,WLF,Oxford/AstraZeneca,2021-06-08,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,Oxford/AstraZeneca,2021-06-10,World Health Organization,https://covid19.who.int/
Zambia,ZMB,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-02,Government of Zambia,https://www.facebook.com/mohzambia/posts/1923567667817881
Zimbabwe,ZWE,Sinopharm/Beijing,2021-06-10,Ministry of Health,https://twitter.com/MoHCCZim/status/1403067527975034887
